skill,origin_week,train_size,method,variant,forecast_week,horizon_step,actual,predicted,abs_error,sq_error,pct_error
java,2024-W20,20,"SARIMAX(no-season,short-history)",sarima,2024-W21,1,274,272.54,1.4599999999999795,2.13159999999994,0.5328467153284597
java,2024-W20,20,"SARIMAX(no-season,short-history)",sarima,2024-W22,2,274,278.93,4.930000000000007,24.304900000000067,1.7992700729927031
java,2024-W20,20,"SARIMAX(no-season,short-history)",sarima,2024-W23,3,264,274.62,10.620000000000005,112.78440000000009,4.022727272727274
java,2024-W20,20,"SARIMAX(no-season,short-history)",sarima,2024-W24,4,266,277.53,11.529999999999973,132.94089999999937,4.334586466165404
java,2024-W20,20,XGBoost,xgboost,2024-W21,1,274,268.97,5.029999999999973,25.300899999999725,1.8357664233576543
java,2024-W20,20,XGBoost,xgboost,2024-W22,2,274,266.21,7.7900000000000205,60.68410000000032,2.8430656934306646
java,2024-W20,20,XGBoost,xgboost,2024-W23,3,264,265.99,1.990000000000009,3.960100000000036,0.7537878787878822
java,2024-W20,20,XGBoost,xgboost,2024-W24,4,266,261.46,4.5400000000000205,20.611600000000188,1.706766917293241
java,2024-W20,20,naive,naive,2024-W21,1,274,282.0,8.0,64.0,2.9197080291970803
java,2024-W20,20,naive,naive,2024-W22,2,274,282.0,8.0,64.0,2.9197080291970803
java,2024-W20,20,naive,naive,2024-W23,3,264,282.0,18.0,324.0,6.8181818181818175
java,2024-W20,20,naive,naive,2024-W24,4,266,282.0,16.0,256.0,6.015037593984962
java,2024-W24,24,ARIMA,arima_es,2024-W25,1,281,263.55,17.44999999999999,304.5024999999996,6.2099644128113844
java,2024-W24,24,ARIMA,arima_es,2024-W26,2,259,265.47,6.470000000000027,41.860900000000356,2.4980694980695084
java,2024-W24,24,ARIMA,arima_es,2024-W27,3,286,263.96,22.04000000000002,485.7616000000009,7.706293706293714
java,2024-W24,24,ARIMA,arima_es,2024-W28,4,276,265.15,10.850000000000023,117.7225000000005,3.9311594202898634
java,2024-W24,24,ES,holt_winters_full,2024-W25,1,281,268.42,12.579999999999984,158.2563999999996,4.47686832740213
java,2024-W24,24,ES,holt_winters_full,2024-W26,2,259,268.23,9.230000000000018,85.19290000000034,3.563706563706571
java,2024-W24,24,ES,holt_winters_full,2024-W27,3,286,268.04,17.95999999999998,322.56159999999926,6.279720279720273
java,2024-W24,24,ES,holt_winters_full,2024-W28,4,276,267.85,8.149999999999977,66.42249999999963,2.9528985507246293
java,2024-W24,24,"SARIMAX(no-season,short-history)",sarima,2024-W25,1,281,263.29,17.70999999999998,313.6440999999993,6.30249110320284
java,2024-W24,24,"SARIMAX(no-season,short-history)",sarima,2024-W26,2,259,265.43,6.430000000000007,41.34490000000009,2.482625482625485
java,2024-W24,24,"SARIMAX(no-season,short-history)",sarima,2024-W27,3,286,263.74,22.25999999999999,495.50759999999957,7.78321678321678
java,2024-W24,24,"SARIMAX(no-season,short-history)",sarima,2024-W28,4,276,265.08,10.920000000000016,119.24640000000035,3.9565217391304404
java,2024-W24,24,XGBoost,xgboost,2024-W25,1,281,264.71,16.29000000000002,265.3641000000007,5.797153024911039
java,2024-W24,24,XGBoost,xgboost,2024-W26,2,259,273.42,14.420000000000016,207.93640000000045,5.567567567567574
java,2024-W24,24,XGBoost,xgboost,2024-W27,3,286,269.57,16.430000000000007,269.94490000000025,5.744755244755248
java,2024-W24,24,XGBoost,xgboost,2024-W28,4,276,274.46,1.5400000000000205,2.371600000000063,0.5579710144927611
java,2024-W24,24,naive,naive,2024-W25,1,281,266.0,15.0,225.0,5.338078291814947
java,2024-W24,24,naive,naive,2024-W26,2,259,266.0,7.0,49.0,2.7027027027027026
java,2024-W24,24,naive,naive,2024-W27,3,286,266.0,20.0,400.0,6.993006993006993
java,2024-W24,24,naive,naive,2024-W28,4,276,266.0,10.0,100.0,3.6231884057971016
java,2024-W28,28,ARIMA,arima_es,2024-W29,1,267,270.77,3.769999999999982,14.212899999999863,1.411985018726585
java,2024-W28,28,ARIMA,arima_es,2024-W30,2,263,271.58,8.579999999999984,73.61639999999973,3.2623574144486636
java,2024-W28,28,ARIMA,arima_es,2024-W31,3,268,271.45,3.4499999999999886,11.902499999999922,1.2873134328358167
java,2024-W28,28,ARIMA,arima_es,2024-W32,4,278,271.47,6.529999999999973,42.64089999999965,2.348920863309343
java,2024-W28,28,ES,holt_winters_full,2024-W29,1,267,271.57,4.569999999999993,20.884899999999938,1.7116104868913833
java,2024-W28,28,ES,holt_winters_full,2024-W30,2,263,271.58,8.579999999999984,73.61639999999973,3.2623574144486636
java,2024-W28,28,ES,holt_winters_full,2024-W31,3,268,271.59,3.589999999999975,12.88809999999982,1.3395522388059609
java,2024-W28,28,ES,holt_winters_full,2024-W32,4,278,271.59,6.410000000000025,41.088100000000324,2.3057553956834624
java,2024-W28,28,SARIMAX,sarima,2024-W29,1,267,270.6,3.6000000000000227,12.960000000000164,1.3483146067415817
java,2024-W28,28,SARIMAX,sarima,2024-W30,2,263,272.25,9.25,85.5625,3.5171102661596962
java,2024-W28,28,SARIMAX,sarima,2024-W31,3,268,271.7,3.6999999999999886,13.689999999999916,1.3805970149253688
java,2024-W28,28,SARIMAX,sarima,2024-W32,4,278,271.87,6.1299999999999955,37.576899999999945,2.20503597122302
java,2024-W28,28,XGBoost,xgboost,2024-W29,1,267,280.37,13.370000000000005,178.75690000000012,5.007490636704121
java,2024-W28,28,XGBoost,xgboost,2024-W30,2,263,272.12,9.120000000000005,83.17440000000008,3.467680608365021
java,2024-W28,28,XGBoost,xgboost,2024-W31,3,268,272.02,4.019999999999982,16.160399999999854,1.4999999999999931
java,2024-W28,28,XGBoost,xgboost,2024-W32,4,278,267.53,10.470000000000027,109.62090000000057,3.766187050359722
java,2024-W28,28,naive,naive,2024-W29,1,267,276.0,9.0,81.0,3.3707865168539324
java,2024-W28,28,naive,naive,2024-W30,2,263,276.0,13.0,169.0,4.942965779467681
java,2024-W28,28,naive,naive,2024-W31,3,268,276.0,8.0,64.0,2.9850746268656714
java,2024-W28,28,naive,naive,2024-W32,4,278,276.0,2.0,4.0,0.7194244604316548
java,2024-W32,32,ARIMA,arima_es,2024-W33,1,276,270.24,5.759999999999991,33.1775999999999,2.0869565217391273
java,2024-W32,32,ARIMA,arima_es,2024-W34,2,271,271.27,0.2699999999999818,0.07289999999999018,0.09963099630995638
java,2024-W32,32,ARIMA,arima_es,2024-W35,3,277,271.13,5.8700000000000045,34.456900000000054,2.119133574007222
java,2024-W32,32,ARIMA,arima_es,2024-W36,4,277,271.15,5.850000000000023,34.22250000000027,2.1119133574007303
java,2024-W32,32,ES,holt_winters_full,2024-W33,1,276,270.52,5.480000000000018,30.0304000000002,1.9855072463768182
java,2024-W32,32,ES,holt_winters_full,2024-W34,2,271,270.48,0.5199999999999818,0.2703999999999811,0.19188191881918149
java,2024-W32,32,ES,holt_winters_full,2024-W35,3,277,270.44,6.560000000000002,43.03360000000003,2.3682310469314087
java,2024-W32,32,ES,holt_winters_full,2024-W36,4,277,270.4,6.600000000000023,43.5600000000003,2.3826714801444124
java,2024-W32,32,SARIMAX,sarima,2024-W33,1,276,269.58,6.420000000000016,41.216400000000206,2.326086956521745
java,2024-W32,32,SARIMAX,sarima,2024-W34,2,271,271.75,0.75,0.5625,0.27675276752767525
java,2024-W32,32,SARIMAX,sarima,2024-W35,3,277,271.17,5.829999999999984,33.988899999999816,2.104693140794218
java,2024-W32,32,SARIMAX,sarima,2024-W36,4,277,271.24,5.759999999999991,33.1775999999999,2.079422382671477
java,2024-W32,32,XGBoost,xgboost,2024-W33,1,276,267.7,8.300000000000011,68.89000000000019,3.0072463768115987
java,2024-W32,32,XGBoost,xgboost,2024-W34,2,271,280.55,9.550000000000011,91.20250000000021,3.523985239852403
java,2024-W32,32,XGBoost,xgboost,2024-W35,3,277,271.88,5.1200000000000045,26.214400000000047,1.8483754512635393
java,2024-W32,32,XGBoost,xgboost,2024-W36,4,277,263.35,13.649999999999977,186.32249999999937,4.92779783393501
java,2024-W32,32,naive,naive,2024-W33,1,276,278.0,2.0,4.0,0.7246376811594203
java,2024-W32,32,naive,naive,2024-W34,2,271,278.0,7.0,49.0,2.5830258302583027
java,2024-W32,32,naive,naive,2024-W35,3,277,278.0,1.0,1.0,0.36101083032490977
java,2024-W32,32,naive,naive,2024-W36,4,277,278.0,1.0,1.0,0.36101083032490977
java,2024-W36,36,ARIMA,arima_es,2024-W37,1,271,271.1,0.10000000000002274,0.010000000000004547,0.036900369003698426
java,2024-W36,36,ARIMA,arima_es,2024-W38,2,271,271.66,0.660000000000025,0.435600000000033,0.24354243542436346
java,2024-W36,36,ARIMA,arima_es,2024-W39,3,264,271.61,7.610000000000014,57.91210000000021,2.8825757575757627
java,2024-W36,36,ARIMA,arima_es,2024-W40,4,262,271.61,9.610000000000014,92.35210000000026,3.667938931297715
java,2024-W36,36,ES,holt_winters_full,2024-W37,1,271,272.38,1.3799999999999955,1.9043999999999874,0.5092250922509208
java,2024-W36,36,ES,holt_winters_full,2024-W38,2,271,272.42,1.420000000000016,2.0164000000000453,0.5239852398524044
java,2024-W36,36,ES,holt_winters_full,2024-W39,3,264,272.46,8.45999999999998,71.57159999999965,3.2045454545454466
java,2024-W36,36,ES,holt_winters_full,2024-W40,4,262,272.5,10.5,110.25,4.007633587786259
java,2024-W36,36,SARIMAX,sarima,2024-W37,1,271,271.02,0.01999999999998181,0.0003999999999992724,0.0073800738007312955
java,2024-W36,36,SARIMAX,sarima,2024-W38,2,271,272.39,1.3899999999999864,1.9320999999999622,0.5129151291512865
java,2024-W36,36,SARIMAX,sarima,2024-W39,3,264,271.75,7.75,60.0625,2.9356060606060606
java,2024-W36,36,SARIMAX,sarima,2024-W40,4,262,272.34,10.339999999999975,106.91559999999949,3.946564885496174
java,2024-W36,36,XGBoost,xgboost,2024-W37,1,271,274.28,3.2799999999999727,10.75839999999982,1.2103321033210233
java,2024-W36,36,XGBoost,xgboost,2024-W38,2,271,272.06,1.0600000000000023,1.1236000000000048,0.3911439114391152
java,2024-W36,36,XGBoost,xgboost,2024-W39,3,264,273.12,9.120000000000005,83.17440000000008,3.454545454545456
java,2024-W36,36,XGBoost,xgboost,2024-W40,4,262,273.52,11.519999999999982,132.7103999999996,4.396946564885489
java,2024-W36,36,naive,naive,2024-W37,1,271,277.0,6.0,36.0,2.214022140221402
java,2024-W36,36,naive,naive,2024-W38,2,271,277.0,6.0,36.0,2.214022140221402
java,2024-W36,36,naive,naive,2024-W39,3,264,277.0,13.0,169.0,4.924242424242424
java,2024-W36,36,naive,naive,2024-W40,4,262,277.0,15.0,225.0,5.7251908396946565
java,2024-W40,40,ARIMA,arima_es,2024-W41,1,248,271.66,23.660000000000025,559.7956000000012,9.540322580645173
java,2024-W40,40,ARIMA,arima_es,2024-W42,2,254,271.14,17.139999999999986,293.7795999999995,6.748031496062986
